shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
dar-dil	dar-dil													в сердце, на сердце, в душе	falůní-nd ku čiz wi dar-dil vud, yu xu ca zīd-i! должно быть, у него что-нибудь было на сердце, раз он себя убил!	
dar-mōbḗn	dar-moben													между	wēv dar-mōbḗn между ними	(= mōbḗn- and)
dar-qār	dar-qar													в гневе, гневный	dar-qār δêdṓw (δi), dar-qār sittṓw разгневаться, разозлиться, вспылить	
dar-sām	dar-sam													страшно, боязно	wúz-um dar-sām мне страшно	
dar-sirṓq δêdṓw	dar-siroq δedow,dar-siroq čidow	dar-sirṓq čīdṓw												разыскивать, расспрашивать, отыскивать	bačgalayḗn-ēn tu dar-sirṓq δōd ребята тебя разыскивают; tu virṓd tú-yi dar-sirṓq čīd sut твой брат пошел тебя разыскивать	(δiy)
dar-tṓv čīdṓw	dar-tov čidow													жарить		
dar-tṓv sittṓw	dar-tov sittow													обгорать, подгорать		
darā́	dara													ущелье, долина		
daraǰā́	daraja													степень, ступень; градус		
darák	darak													весть, известие, сведение		
daralṓyi	daraloyi													для, ради	wúz-um daralṓyi tu pūl nist я не зарюсь на твои деньги; wúz-um daralṓyi tu xurṓk tarů́d na yaθč я пришел сюда не ради твоего угощения	
daráw	daraw													немедленно, сейчас же, тотчас		
daráw sittṓw	daraw sittow,dar sittow,daraw čidow,dar čidow	dar sittṓw, daráw čīdṓw, dar čīdṓw												приняться за.., начать	fíkri darāw čīd начал думать; dar garδā́ niδḗmt sēn принимаются прилеплять (в очаге) хлеб; xurṓk wḗvard dar bāx̌ čīd sēn принимаются делить между ними пищу; daráw têx̌íʒ sůd принимается за обтесывание	
daraxtzṓr	daraxtzor													лес		
darbačā́	darbača													дверца, калитка	wúz-um darbačā-va ar bōγ dēd я через калитку вошел в сад; mu darbačā́ tīr qulf nist на моей калитке нет замка	
dā́rð-at durð	darð-at durð													болезни и немощи		
dargī́l	dargil													скорбный, горестный, тоскующий	(усилит.) dargī́li zōr (=lap dargī́l); dargī́l sittṓw cкopбеть, горевать, тосковать; lap dargī́l-um ar čīd sittṓw tīr я очень тоскую по дому; xu nan tī́r-um lap dargī́l suδǰ я истосковался по своей матери; wúz-um xu virṓd-tīr ik-důnd dargī́li zōr suδǰ didi dalī́laθ nay я так стосковался по своему брату, что мочи нет	
dargī́l-mōdík	dargil-modik													название лирических четверостиший с припевом	"dargī́l-mōdík áčaθ mā lův ar-gůn ca lůvi, ba-sū́zaθ lův совсем не пой ""dargī́l-mōdík“, а если поешь, так пой с чувством"	
dargīlí	dargili													скорбь, тоска, горевание	mu dargīlí áčaθ na pist моя скорбь совсем не утихает	
dargṓ	dargo													дворец, престол; преддверие, пространство около дома, постройки	ar ōstů́n dargṓ к мазapy, у мазара; minḗč-at viznḗč ar yi x̌êδ wḗδēn, x̌ūvdín žōwḗn ar yí-ga, qisír žōwḗn-at x̌aǰḗn dargṓ-rad-aθ rísēn овец и коз помещают в один загон, молочных коров в другой, а яловых коров и быков оставляют перед загоном (на открытом воздухе); mu čīd dargṓ место перед моим домом	
ðarí	ðari													удаленность, отдаленность, даль		
darīčā́	dariča													дверка, дверца		
darkṓr	darkor													нужный, необходимый		
darkōrí	darkori													необходимость; нужный, необходимый		
darmōmṓ	darmomo													напрасно, зря, без толку	mā́š-ām darmōmṓ-θ sat tar bōzṓr atā as bōzṓr-ām уi čī́zaθ na vūd мы зря ходили на базар: ничего там не нашли	
Darmōráxt	Darmoraxt													название селения		
darmōraxtí	darmoraxti													житель Дарморахта		
darmū́n	darmun													кишки, внутренности, потроха		
darōmád	daromad													доход, приход		
darṓz	daroz													длинный, долгий	žī́z-en di mīzd xu, darṓz-a θ-ēn di wi tāl δōd, dáδ-ta... когда набрали дров и уложили их в длину, то...; darṓz nīstṓw долго сидеть	
darōzakí	darozaki													длиннющий, предлинный		
darōzí	darozi													длина		
dars	dars													урок	dars x̌êydṓw учить урок; dars δêdṓw (δāδ) давать уроки	
darū́n	darun													внутренность; внутри, среди, между	darū́n-ard внутрь; darū́n-and внутри; as-darū́n изнутри; kōrgarḗn-at palīcḗn darū́n xūnrēzí sůd между рабочими и полицией возникает кровопролитие	
darwḗx̌	darwex													дервиш		
darwēzā́	darweza													нищенство, попрошайничество	darwēzā́ čīdṓw нищенствовать, просить милостыню, побираться; wuz xu kūdakḗn ǰāt darwēzā́ kinúm я побираюсь ради своих детей	
Darwṓz	Darwoz													Дарваз		
darwōzā́	darwoza,darvoza	darvōzā́												ворота		
Dārx	Darx													оврынг Дарх (труднопроходимое место на берегу р. Пяндж, между Шугнаном и Рушаном)		
daryṓ	daryo													река, море	daryṓ-lāv речной, морской берег	
daryṓv	daryov													захват, достижение		
daryṓv čīdṓw	daryov čidow													догонять, настигать; целовать руки (в знак уважения)	wi δúst-ti daryṓv kinā́m целуем ему руки; widōbák-ard as mōl ay-kuniǰḗn daryṓvēn xu, ðíyēn pirṓ-tā, mōl ay-kunīǰḗn rísēn zibṓ к утру (они) догонят погонщиков скота, обгонят их, и погонщики останутся сзади	
