shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
pōytáxt	poytaxt												1) столица 2) климатически теплые места внизу в горах, в противоположность суровым высокогорным (sarád)	a-rō pōytáxt-and-um uxmā́nd suðǰ xu, mi sarád ǰṓy-and as šitōyí tōqát na kinúm я привык к теплым местам и в этих суровых местах не могу выносить холода	
pōytōvā́	poytova												женские чулки на вате		
pōγ̌ʒā́	poγ̌ʒa,pokiʒa,pðkiza	pōkīʒā́, pðkīzā́											чистый, опрятный; начисто, целиком	pōγ̌ʒā́, pōkīzā́ čīdṓw чистить, очищать, вычищать	
pōθ	poθ												стрела, пуля	pōθ wēðdṓw стрелять	
puā	pua												междометие	puā, di dastū́r vōrǰ yḗdard lap! ну, таких-то лошадей тут много! a-rō puā, di dastū́r kṓr-ta yi yōr lāvůd na? эх, брат (полно, брат), о таком деле разве кто будет говорить? puā, xu kṓr-ēt γal tayṓr na čuγ̌ǰ-ā? эх вы, до сих пор еще не кончили работу?	
puc	puc,pacen											pacen	сын		
puc vídṓw	puc vidow												родить, разрешиться от бремени	ya γ̌iník-ta x̌ō nur puc vīrt сегодня она, должно быть, будет родить	
pucák	pucak												сынок (игрушка, маленькая кукла, изображающая мальчика)		
pucingí	pucingi												обязанности сына по отношению к родителям	a puc, pucingí-at murd vār-ðōd сын, ты выполнил свои сыновние обязанности	
pūd	pud												брод	pud ðêdṓw (dāð) переправляться вброд	
puf	puf												дуновение	puf čī́dṓw дуть	
puf	puf,puft,puft,pifč,puftow			puft			puft	pifč			puftṓw		дуть		
puf-at-muf	pufatmuf,pufmuf	puf-muf											буря, метель		
pufīcák	puficak												надувалка, отверстие для надувания воздухом плавательного меха		(=x̌ůn)
pūl	pul												мост	pū́li čaxták покривившийся мост	только в сочетании (в сказках)
pūl	pul												деньги, копейка	pūl čīdṓw добывать, зарабатывать деньги; mu tāt ar cůnd pūl-i ca čūd xu mard́ikōŕí tīr... сколько ни зарабатывал мой отец денег в качестве чернорабочего	
pūldṓr	puldor												имеющий деньги, богатый, богач	tamá darū́n čāy pūldōrdí? кто из вас побогаче?	
pūldůnák	puldunak,puldun	pūldůn											кошелек для денег		
pulk	pulk												кисть, бахрома; молот	ðếrv-at pulk серп и молот	
pulk-žīr	pulkžir												большая каменная наковальня		
pūlṓd	pulod												сталь		
pūm	pum												пух		ж.
pumā́n	puman												козий подшерсток, козий пух		
pumanák	pumanak												плесень	pumanák ðêdṓw (ðiy) плесневеть; garða yu-dand ma lak, yid pumanák ðea не оставляй здесь хлеба, он заплесневеет	
půn-divēsī́ǰ	pundivesij												проводник		
půn-divēsī́ǰ	pundivesij												проводник		
půnd	pund,pun	půn											дорога, путь, тропа	půn(d) tīd идти, путешествовать; pān-divēstǰ путеводитель, проводник; wúz-um půnd tīdōw-ard vud, dú-w-at nīm sōlā́ двух с половиною лет я должен был путешествовать; pů́nd-va, pů́nd-ard по дороге	м.
pūnṓv	punov												использованная вода, остаток воды после орошения верхнего поля, могущий быть использованным не в счет очереди владельцем нижнего поля	wúz-um xu zimc falůní pūnṓv tīr x̌ac ðōd я оросил свою землю остатками воды такого-то	
pup	pup,рар		рар										кустарниковый, кустообразный, куст	ar mu bōγ yi pup gul в моем саду есть куст цветов	(о траве, волосах, растительности вообще)
pur	pur												полный	mu čī́d-and pur ōdám vud в моем доме было полно народу; mu ād pur sut, šič tíyum мое обязательство выполнено, теперь я ухожу; pur čīdṓw наполнять, заряжать	
purā́yi gūx̌t	purayi guxt												икра ноги	kud mu puráyi gū́x̌t-and anǰū́vd-i xu bā́d-i ðōd sandál собака хватила меня за икру и рванула	
pūrg	purg												мышь, крыса		м.
purgak-wiðíč	purgakwiðič												очень мелкая птица		
purí	puri												полнота, наполненность, обилие		
purrā́	purra												полный, полностью, целиком, вполне		
pursíx̌	pursix												спрос, расспросы, просьба	purśíx̌ čīdṓw спрашивать, спрашиваться; lōzum turd ca vēd tu ar kṓr-aθ mu pursíx̌ kin что тебе понадобится, ты обо всем меня спрашивай	
purtak tīždṓw	purtak tiždow												недоверчиво смеяться, с недоверием и пренебрежением относиться к словам	wāð mu purták tā́žēn они мне не верят и смеются	
purx	purx												брызганье, прысканье водой изо рта	purx čīdṓw брызгать, прыскать водой (набрав ее в рот); yu γiðā́ x̌ác-i murd purx čūd тот мальчик обрызгал меня водой	
purx	purx,purxt,purxt,purx,purxtow			purxt			purxt	purx			purxtṓw		прыскать, брызгать водой, набрав ее в рот	di pů́st-ard x̌āc purx, yid lap qōq обрызгай водой этот мех, он очень сухой	
purx̌í	purxi												разведение огня в очаге посредством кизяка, складываемого следующим способом: внизу ставятся несколько крупных кизяков, на них насыпается более мелкий	ðīd at ribúx̌c vā́rēn xu, ar kicṓr wam ðīd kinḗn kāl-tar-kāl xu, ribúx̌č kinḗn wi ðīd tṓ(r)-ra xu ca piðinēn, dáð-ta yik di lů́vēn purx̌í приносят крупный и мелкий кизяк, ставят в очаге наклонно верхушками друг к другу, а сверху накладывают мелкий, и когда всё зажгут, это называется „purx̌í”	
purx̌í-žīr	purxižir												камни, подкладываемые под кизяк спереди, для лучшей тяги		
puš	puš												кошка, кот	kúd-at puš кошка с собакой, собака и кошка; cōγ̌ʒ Xuγ̌nů́n-and ar kúd-at puš čid-and pēðṓ sůd шило в Шугнане можно найти даже в кошачьей и собачьей конуре	только в сложении (ср. piš)
pus-bānd	pusband												кожаная петля внизу сапога (pêx), через которую пропускаются завязки (pêx-bānd)		
pušak	pušak												шерсть для пряжи, кудель		
půst	pust,bust	-bůst											кожа, шкура, кора	x̌īǰ-bůst воловья кожа; půst čīdṓw снимать шкуру с животного, свежевать	
puštačí	puštači												почтарь, почтальон		
půstak	pustak												меховой коврик		
půstā́k	pustak												кора дерева, яичная скорлупа, кожица, кожура		
půstín	pustin												кожаный, меховой		
půstī́n	pustin												тулуп, шуба	půstīnák тулупишко, шубенка	
půt	put												мячик, мяч	γācḗn darāw půt bêx̌t sēn девушки принимаются играть в мяч	
pūx̌ṓk	puxok,puxoka	pūx̌ōkā́											одежда, платье, одеяние	pūx̌ṓk čīdṓw одевать, снабжать одеждой; pūx̌ṓk-ancāvīǰ швея, портной, портниха	
